[1721395810522]  [TestTask]:Thread:Thread[#28,pool-1-thread-1,5,main] released it's connection
[1721395810528]  [TestTask]:Thread:Thread[#28,pool-1-thread-1,5,main] executed 371196 inserts
[1721395810529]  [TestTask]:Thread:Thread[#30,pool-1-thread-3,5,main] released it's connection
[1721395810529]  [TestTask]:Thread:Thread[#30,pool-1-thread-3,5,main] executed 372230 inserts
[1721395810529]  [TestTask]:Thread:Thread[#29,pool-1-thread-2,5,main] released it's connection
[1721395810530]  [TestTask]:Thread:Thread[#29,pool-1-thread-2,5,main] executed 373375 inserts
[1721395810530]  [TestTask]:Thread:Thread[#31,pool-1-thread-4,5,main] released it's connection
[1721395810530]  [TestTask]:Thread:Thread[#31,pool-1-thread-4,5,main] executed 374270 inserts
[1721395810531]  [TestTask]:Total inserts:1491071
[1721395870526]  [CleanupTask]:Running cleanup task for [5] connections
[1721395870529]  [CleanupTask]:Closed 1 connections
[1721396050526]  [CleanupTask]:Running cleanup task for [4] connections
[1721396050529]  [CleanupTask]:Closed 4 connections
[1721396051012]  [TestTask]:Connections in pool:0
[1721396051102]  [TestTask]:Thread:Thread[#32,pool-2-thread-1,5,main] has connection:org.postgresql.jdbc.PgConnection@280dd045
[1721396051105]  [TestTask]:Thread:Thread[#34,pool-2-thread-3,5,main] has connection:org.postgresql.jdbc.PgConnection@6407b81b
[1721396051122]  [TestTask]:Thread:Thread[#35,pool-2-thread-4,5,main] has connection:org.postgresql.jdbc.PgConnection@67adb83
[1721396051299]  [TestTask]:Thread:Thread[#33,pool-2-thread-2,5,main] has connection:org.postgresql.jdbc.PgConnection@48806033
[1721396171014]  [TestTask]:Thread:Thread[#34,pool-2-thread-3,5,main] released it's connection
[1721396171014]  [TestTask]:Thread:Thread[#34,pool-2-thread-3,5,main] executed 357363 inserts
[1721396171015]  [TestTask]:Thread:Thread[#32,pool-2-thread-1,5,main] released it's connection
[1721396171015]  [TestTask]:Thread:Thread[#32,pool-2-thread-1,5,main] executed 356756 inserts
[1721396171016]  [TestTask]:Thread:Thread[#33,pool-2-thread-2,5,main] released it's connection
[1721396171016]  [TestTask]:Thread:Thread[#33,pool-2-thread-2,5,main] executed 356074 inserts
[1721396171017]  [TestTask]:Thread:Thread[#35,pool-2-thread-4,5,main] released it's connection
[1721396171017]  [TestTask]:Thread:Thread[#35,pool-2-thread-4,5,main] executed 357747 inserts
[1721396171017]  [TestTask]:Total inserts:1427940
[1721396230526]  [CleanupTask]:Running cleanup task for [4] connections
[1721396230527]  [CleanupTask]:Closed 0 connections

[1721397590943]  [Main]:[TEST_CLEANUP] [EXPECTING] Closes no connections
[1721397590970]  [Main]:[TEST_CONNECTION_ASSIGNATION] [EXPECTING] 9 connections to be assigned, max_connection_limmit
[1721397591673]  [TestTask]:Connections in pool:3
[1721397591683]  [TestTask]:Thread:Thread[#25,pool-1-thread-1,5,main] has connection:org.postgresql.jdbc.PgConnection@42d8062c
[1721397591684]  [TestTask]:Thread:Thread[#26,pool-1-thread-2,5,main] has connection:org.postgresql.jdbc.PgConnection@6043cd28
[1721397591693]  [TestTask]:Thread:Thread[#28,pool-1-thread-4,5,main] has connection:org.postgresql.jdbc.PgConnection@cb51256
[1721397592440]  [TestTask]:Thread:Thread[#29,pool-1-thread-5,5,main] has connection:org.postgresql.jdbc.PgConnection@3911f519
[1721397593001]  [TestTask]:Thread:Thread[#30,pool-1-thread-6,5,main] has connection:org.postgresql.jdbc.PgConnection@45b3bcce
[1721397594168]  [TestTask]:Thread:Thread[#31,pool-1-thread-7,5,main] has connection:org.postgresql.jdbc.PgConnection@2a89103f
[1721397594238]  [TestTask]:Thread:Thread[#27,pool-1-thread-3,5,main] has connection:org.postgresql.jdbc.PgConnection@1d82e7d5
[1721397594624]  [TestTask]:Thread:Thread[#32,pool-1-thread-8,5,main] has connection:org.postgresql.jdbc.PgConnection@3262f3cc
[1721397594767]  [TestTask]:Thread:Thread[#33,pool-1-thread-9,5,main] has connection:org.postgresql.jdbc.PgConnection@33054e96
[1721397594871]  [TestTask]:Thread:Thread[#34,pool-1-thread-10,5,main] has connection:org.postgresql.jdbc.PgConnection@3f1231e4
[1721397651678]  [TestTask]:Thread:Thread[#25,pool-1-thread-1,5,main] released it's connection
[1721397651685]  [TestTask]:Thread:Thread[#25,pool-1-thread-1,5,main] executed 100218 inserts
[1721397651686]  [TestTask]:Thread:Thread[#26,pool-1-thread-2,5,main] released it's connection
[1721397651686]  [TestTask]:Thread:Thread[#26,pool-1-thread-2,5,main] executed 101066 inserts
[1721397651693]  [TestTask]:Thread:Thread[#29,pool-1-thread-5,5,main] released it's connection
[1721397651693]  [TestTask]:Thread:Thread[#29,pool-1-thread-5,5,main] executed 98409 inserts
[1721397651694]  [TestTask]:Thread:Thread[#28,pool-1-thread-4,5,main] released it's connection
[1721397651694]  [TestTask]:Thread:Thread[#28,pool-1-thread-4,5,main] executed 99613 inserts
[1721397651695]  [TestTask]:Thread:Thread[#31,pool-1-thread-7,5,main] released it's connection
[1721397651696]  [TestTask]:Thread:Thread[#31,pool-1-thread-7,5,main] executed 94883 inserts
[1721397651696]  [TestTask]:Thread:Thread[#33,pool-1-thread-9,5,main] released it's connection
[1721397651697]  [TestTask]:Thread:Thread[#33,pool-1-thread-9,5,main] executed 93895 inserts
[1721397651697]  [TestTask]:Thread:Thread[#32,pool-1-thread-8,5,main] released it's connection
[1721397651697]  [TestTask]:Thread:Thread[#32,pool-1-thread-8,5,main] executed 95455 inserts
[1721397651698]  [TestTask]:Thread:Thread[#27,pool-1-thread-3,5,main] released it's connection
[1721397651698]  [TestTask]:Thread:Thread[#27,pool-1-thread-3,5,main] executed 94717 inserts
[1721397651699]  [TestTask]:Thread:Thread[#30,pool-1-thread-6,5,main] released it's connection
[1721397651699]  [TestTask]:Thread:Thread[#30,pool-1-thread-6,5,main] executed 96056 inserts


[1721398054469]  [Main]:[TEST_CLEANUP] [EXPECTING] Closes no connections
[1721398054492]  [Main]:[TEST_CONNECTION_ASSIGNATION] [EXPECTING] 9 connections to be assigned, max_connection_limit
[1721398055267]  [TestTask]:Connections in pool:3
[1721398055322]  [TestTask]:Thread:Thread[#27,pool-1-thread-3,5,main] has connection:org.postgresql.jdbc.PgConnection@12cdcf4
[1721398055326]  [TestTask]:Thread:Thread[#25,pool-1-thread-1,5,main] has connection:org.postgresql.jdbc.PgConnection@25af5db5
[1721398055326]  [TestTask]:Thread:Thread[#28,pool-1-thread-4,5,main] has connection:org.postgresql.jdbc.PgConnection@5bcea91b
[1721398055804]  [TestTask]:Thread:Thread[#29,pool-1-thread-5,5,main] has connection:org.postgresql.jdbc.PgConnection@2a74bc1
[1721398057108]  [TestTask]:Thread:Thread[#34,pool-1-thread-10,5,main] has connection:org.postgresql.jdbc.PgConnection@79a19a06
[1721398057634]  [TestTask]:Thread:Thread[#33,pool-1-thread-9,5,main] has connection:org.postgresql.jdbc.PgConnection@735037e6
[1721398058028]  [TestTask]:Thread:Thread[#32,pool-1-thread-8,5,main] has connection:org.postgresql.jdbc.PgConnection@1894a1d6
[1721398059220]  [TestTask]:Thread:Thread[#31,pool-1-thread-7,5,main] has connection:org.postgresql.jdbc.PgConnection@7a1bd96f
[1721398060399]  [TestTask]:Thread:Thread[#26,pool-1-thread-2,5,main] has connection:org.postgresql.jdbc.PgConnection@2831008d
[1721398060406]  [TestTask]:Thread:Thread[#30,pool-1-thread-6,5,main] has no connection:Max pool size reached
[1721398115300]  [TestTask]:Thread:Thread[#25,pool-1-thread-1,5,main] released it's connection
[1721398115309]  [TestTask]:Thread:Thread[#25,pool-1-thread-1,5,main] executed 124441 inserts
[1721398115319]  [TestTask]:Thread:Thread[#27,pool-1-thread-3,5,main] released it's connection
[1721398115320]  [TestTask]:Thread:Thread[#27,pool-1-thread-3,5,main] executed 125434 inserts
[1721398115320]  [TestTask]:Thread:Thread[#28,pool-1-thread-4,5,main] released it's connection
[1721398115320]  [TestTask]:Thread:Thread[#28,pool-1-thread-4,5,main] executed 124961 inserts
[1721398115323]  [TestTask]:Thread:Thread[#29,pool-1-thread-5,5,main] released it's connection
[1721398115323]  [TestTask]:Thread:Thread[#29,pool-1-thread-5,5,main] executed 124146 inserts
[1721398115326]  [TestTask]:Thread:Thread[#32,pool-1-thread-8,5,main] released it's connection
[1721398115326]  [TestTask]:Thread:Thread[#32,pool-1-thread-8,5,main] executed 119955 inserts
[1721398115327]  [TestTask]:Thread:Thread[#31,pool-1-thread-7,5,main] released it's connection
[1721398115327]  [TestTask]:Thread:Thread[#31,pool-1-thread-7,5,main] executed 117518 inserts
[1721398115328]  [TestTask]:Thread:Thread[#26,pool-1-thread-2,5,main] released it's connection
[1721398115328]  [TestTask]:Thread:Thread[#26,pool-1-thread-2,5,main] executed 114503 inserts
[1721398115328]  [TestTask]:Thread:Thread[#34,pool-1-thread-10,5,main] released it's connection
[1721398115329]  [TestTask]:Thread:Thread[#34,pool-1-thread-10,5,main] executed 121771 inserts
[1721398115329]  [TestTask]:Thread:Thread[#33,pool-1-thread-9,5,main] released it's connection
[1721398115330]  [TestTask]:Thread:Thread[#33,pool-1-thread-9,5,main] executed 120405 inserts
[1721398115334]  [CleanupTask]:Running cleanup task for [9] connections
[1721398115340]  [CleanupTask]:Closed 0 connections
[1721398175334]  [CleanupTask]:Running cleanup task for [9] connections
[1721398175335]  [CleanupTask]:Closed 0 connections


[1721398984791]  [Main]:[TEST_CLEANUP] [EXPECTING] Closes no connections
[1721398984817]  [Main]:[TEST_CONNECTION_ASSIGNATION] [EXPECTING] 3 connections to be assigned, max_connection_limit for the fourth thread
[1721398985469]  [CleanupTask]:Running cleanup task for [1] connections
[1721398985476]  [CleanupTask]:Closed 0 connections
[1721398985477]  [TestTask]:Connections in pool:1
[1721398985492]  [TestTask]:Thread:Thread[#25,pool-1-thread-1,5,main] has connection:org.postgresql.jdbc.PgConnection@59906517
[1721398985636]  [TestTask]:Thread:Thread[#26,pool-1-thread-2,5,main] has connection:org.postgresql.jdbc.PgConnection@4c14435e
[1721398985964]  [TestTask]:Thread:Thread[#28,pool-1-thread-4,5,main] has connection:org.postgresql.jdbc.PgConnection@5874485b
[1721398985973]  [TestTask]:Thread:Thread[#27,pool-1-thread-3,5,main] has no connection:Max pool size reached
[1721399045484]  [TestTask]:Thread:Thread[#26,pool-1-thread-2,5,main] released it's connection
[1721399045490]  [TestTask]:Thread:Thread[#26,pool-1-thread-2,5,main] executed 227267 inserts
[1721399045491]  [TestTask]:Thread:Thread[#28,pool-1-thread-4,5,main] released it's connection
[1721399045491]  [TestTask]:Thread:Thread[#28,pool-1-thread-4,5,main] executed 226461 inserts
[1721399045492]  [TestTask]:Thread:Thread[#25,pool-1-thread-1,5,main] released it's connection
[1721399045492]  [TestTask]:Thread:Thread[#25,pool-1-thread-1,5,main] executed 227988 inserts
[1721399045494]  [CleanupTask]:Running cleanup task for [3] connections
[1721399045495]  [CleanupTask]:Closed 0 connections
[1721399045976]  [TestTask]:Connections in pool:3
[1721399045977]  [TestTask]:Thread:Thread[#32,pool-2-thread-1,5,main] has connection:org.postgresql.jdbc.PgConnection@4c14435e
[1721399045978]  [TestTask]:Thread:Thread[#35,pool-2-thread-4,5,main] has no connection:Max pool size reached
[1721399045978]  [TestTask]:Thread:Thread[#34,pool-2-thread-3,5,main] has connection:org.postgresql.jdbc.PgConnection@5874485b
[1721399045978]  [TestTask]:Thread:Thread[#33,pool-2-thread-2,5,main] has connection:org.postgresql.jdbc.PgConnection@59906517
[1721399105977]  [TestTask]:Thread:Thread[#32,pool-2-thread-1,5,main] released it's connection
[1721399105977]  [TestTask]:Thread:Thread[#32,pool-2-thread-1,5,main] executed 218645 inserts
[1721399105978]  [TestTask]:Thread:Thread[#34,pool-2-thread-3,5,main] released it's connection
[1721399105978]  [TestTask]:Thread:Thread[#34,pool-2-thread-3,5,main] executed 218868 inserts
[1721399105978]  [TestTask]:Thread:Thread[#33,pool-2-thread-2,5,main] released it's connection
[1721399105979]  [TestTask]:Thread:Thread[#33,pool-2-thread-2,5,main] executed 218500 inserts
[1721399105979]  [CleanupTask]:Running cleanup task for [3] connections
[1721399105979]  [CleanupTask]:Closed 0 connections
[1721399106477]  [TestTask]:Connections in pool:3
[1721399106478]  [TestTask]:Thread:Thread[#36,pool-3-thread-1,5,main] has connection:org.postgresql.jdbc.PgConnection@4c14435e
[1721399106478]  [TestTask]:Thread:Thread[#39,pool-3-thread-4,5,main] has no connection:Max pool size reached
[1721399106478]  [TestTask]:Thread:Thread[#38,pool-3-thread-3,5,main] has connection:org.postgresql.jdbc.PgConnection@5874485b
[1721399106479]  [TestTask]:Thread:Thread[#37,pool-3-thread-2,5,main] has connection:org.postgresql.jdbc.PgConnection@59906517
[1721399166477]  [TestTask]:Thread:Thread[#37,pool-3-thread-2,5,main] released it's connection
[1721399166478]  [TestTask]:Thread:Thread[#37,pool-3-thread-2,5,main] executed 232095 inserts
[1721399166478]  [TestTask]:Thread:Thread[#38,pool-3-thread-3,5,main] released it's connection
[1721399166478]  [TestTask]:Thread:Thread[#38,pool-3-thread-3,5,main] executed 231635 inserts
[1721399166479]  [TestTask]:Thread:Thread[#36,pool-3-thread-1,5,main] released it's connection
